**********************
Inicio de la transcripción de Windows PowerShell
Hora de inicio: 20200322175037
Nombre de usuario: DESKTOP-2TAB682\HAG
Usuario RunAs: DESKTOP-2TAB682\HAG
Nombre de la configuración: 
Máquina: DESKTOP-2TAB682 (Microsoft Windows NT 10.0.18363.0)
Aplicación host: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Id. de proceso: 7932
PSVersion: 5.1.18362.628
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.18362.628
BuildVersion: 10.0.18362.628
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
La transcripción ha comenzado. El archivo de salida es C:\Users\HAG\Documents\PowerShell_transcript.DESKTOP-2TAB682.utloSND0.20200322175037.txt
PS C:\Users\HAG> get-process |ft –Property ID,Name, Responding -AutoSize

   Id Name                                                           Responding
   -- ----                                                           ----------
 8020 ApplicationFrameHost                                                 True
 3896 armsvc                                                               True
 3504 AsLdrSrv                                                             True
 2832 ATKOSD2                                                              True
 8124 Betternet                                                            True
 1644 browser_broker                                                       True
 1564 chrome                                                               True
 2276 chrome                                                               True
 2896 chrome                                                               True
 3312 chrome                                                               True
 3368 chrome                                                               True
 4644 chrome                                                               True
 4716 chrome                                                               True
 4908 chrome                                                               True
 5624 chrome                                                               True
 6812 chrome                                                               True
 7436 chrome                                                               True
 7460 chrome                                                               True
 7544 chrome                                                               True
 7936 chrome                                                               True
 8120 chrome                                                               True
 8544 chrome                                                               True
 8584 chrome                                                               True
 8616 chrome                                                               True
 9128 chrome                                                               True
 9280 chrome                                                               True
 9396 chrome                                                               True
 9516 chrome                                                               True
 9524 chrome                                                               True
 9812 chrome                                                               True
10184 chrome                                                               True
10348 chrome                                                               True
10488 chrome                                                               True
10568 chrome                                                               True
10748 chrome                                                               True
10788 chrome                                                               True
10892 chrome                                                               True
10908 chrome                                                               True
11124 chrome                                                               True
11320 chrome                                                               True
11624 chrome                                                               True
13156 chrome                                                               True
 4356 CompPkgSrv                                                           True
 4916 conhost                                                              True
 4980 conhost                                                              True
 8712 conhost                                                              True
  640 csrss                                                                True
  784 csrss                                                                True
 1460 ctfmon                                                               True
 2320 dasHost                                                              True
 3120 dllhost                                                              True
 7804 dllhost                                                              True
 5192 DMedia                                                               True
 1260 dwm                                                                  True
 9356 EpicGamesLauncher                                                    True
 4460 esif_assist_64                                                       True
 3988 esif_uf                                                              True
 4852 explorer                                                             True
 4024 FNPLicensingService64                                                True
  984 fontdrvhost                                                          True
 1184 fontdrvhost                                                          True
 2920 GoogleCrashHandler                                                   True
 3584 GoogleCrashHandler64                                                 True
 3296 HControl                                                             True
 3408 httpd                                                                True
 5696 httpd                                                                True
 4044 ICEsoundService64                                                    True
    0 Idle                                                                 True
 2596 igfxCUIService                                                       True
 1292 igfxEM                                                               True
 3912 IntelCpHDCPSvc                                                       True
 4268 IntelCpHeciSvc                                                       True
 1872 jhi_service                                                          True
